Date	P	T
1989.04.15	81.0	10.3
1989.05.15	96.0	13.6
1989.06.15	76.0	15.5
1989.07.15	95.0	19.7
1989.08.15	162.0	18.2
1989.09.15	66.0	14.7
1989.10.15	6.0	10.2
1989.11.15	26.0	2.5
1989.12.15	17.0	1.9
1990.01.15	29.0	-1.0
1990.02.15	13.0	5.5
1990.03.15	30.0	8.3
1990.04.15	60.0	8.8
1990.05.15	71.0	14.9
1990.06.15	98.0	16.6
1990.07.15	61.0	18.4
1990.08.15	59.0	19.3
1990.09.15	87.0	13.0
1990.10.15	94.0	9.6
1990.11.15	83.0	4.5
1990.12.15	45.0	-0.7
1991.01.15	16.0	-0.5
1991.02.15	33.0	-3.0
1991.03.15	33.0	6.5
1991.04.15	42.0	7.8
1991.05.15	94.0	11.0
1991.06.15	129.0	16.4
1991.07.15	186.0	20.1
1991.08.15	52.0	18.8
1991.09.15	62.0	15.7
1991.10.15	63.0	7.8
1991.11.15	138.0	4.3
1991.12.15	22.0	-1.9
1992.01.15	10.0	0.6
1992.02.15	20.0	2.6
1992.03.15	62.0	5.2
1992.04.15	27.0	9.9
1992.05.15	34.0	14.3
1992.06.15	76.0	17.7
1992.07.15	32.0	20.3
1992.08.15	11.0	23.8
1992.09.15	75.0	15.5
1992.10.15	163.0	8.2
1992.11.15	93.0	4.6
1992.12.15	55.0	-0.2
1993.01.15	5.0	0.7
1993.02.15	17.0	-0.9
1993.03.15	21.0	4.0
1993.04.15	39.0	9.8
1993.05.15	36.0	16.1
1993.06.15	81.0	17.6
1993.07.15	45.0	18.8
1993.08.15	91.0	19.1
1993.09.15	54.0	14.5
1993.10.15	86.0	10.8
1993.11.15	108.0	0.5
1993.12.15	95.0	1.0
1994.01.15	19.0	2.9
1994.02.15	19.0	0.8
1994.03.15	18.0	8.1
1994.04.15	133.0	9.5
1994.05.15	62.0	14.2
1994.06.15	110.0	18.1
1994.07.15	46.0	21.3
1994.08.15	101.0	20.6
1994.09.15	79.0	16.6
1994.10.15	98.0	7.6
1994.11.15	46.0	6.3
1994.12.15	50.0	0.8
1995.01.15	20.0	-0.7
1995.02.15	82.0	4.2
1995.03.15	101.0	3.9
1995.04.15	34.0	10.2
1995.05.15	76.0	14.0
1995.06.15	74.0	16.2
1995.07.15	81.0	21.2
1995.08.15	106.0	17.9
1995.09.15	102.0	13.4
1995.10.15	2.0	10.7
1995.11.15	28.0	2.5
1995.12.15	123.0	-1.1
1996.01.15	53.0	-2.9
1996.02.15	35.0	-3.3
1996.03.15	18.0	1.1
1996.04.15	111.0	9.5
1996.05.15	123.0	15.1
1996.06.15	88.0	18.1
1996.07.15	77.0	17.5
1996.08.15	135.0	18.3
1996.09.15	167.0	11.5
1996.10.15	59.0	10.3
1996.11.15	59.0	6.5
1996.12.15	31.0	-3.2
1997.01.15	32.0	-3.1
1997.02.15	3.0	3.1
1997.03.15	19.0	4.9
1997.04.15	15.0	7.0
1997.05.15	69.0	15.3
1997.06.15	110.0	17.8
1997.07.15	163.0	18.2
1997.08.15	37.0	18.9
1997.09.15	88.0	14.9
1997.10.15	14.0	7.3
1997.11.15	82.0	4.4
1997.12.15	64.0	1.2
1998.01.15	4.0	1.2
1998.02.15	12.0	5.2
1998.03.15	42.0	3.9
1998.04.15	45.0	10.7
1998.05.15	47.0	14.1
1998.06.15	127.0	18.4
1998.07.15	129.0	19.2
1998.08.15	77.0	19.5
1998.09.15	163.0	13.9
1998.10.15	78.0	10.3
1998.11.15	85.0	1.9
1998.12.15	35.0	-2.9
